[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0440s | Lamport: 1
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0260s | Lamport: 3
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0663s | Lamport: 4
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0081s | Lamport: 2
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0469s | Lamport: 3
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0128s | Lamport: 4
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0139s | Lamport: 7
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0131s | Lamport: 5
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0157s | Lamport: 9
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 6.2316s | Lamport: 10
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0104s | Lamport: 12
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0133s | Lamport: 6
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0069s | Lamport: 7
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0098s | Lamport: 14
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0090s | Lamport: 16
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0121s | Lamport: 8
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0089s | Lamport: 18
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0062s | Lamport: 20
[A] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0160s | Lamport: 9
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0032s | Lamport: 21
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0031s | Lamport: 22
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0030s | Lamport: 10
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0144s | Lamport: 11
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0074s | Lamport: 12
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0222s | Lamport: 23
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0059s | Lamport: 24
[A] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0198s | Lamport: 25
