[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0122s | Lamport: 1
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0584s | Lamport: 1
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0210s | Lamport: 2
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0369s | Lamport: 2
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0071s | Lamport: 3
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0142s | Lamport: 3
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0059s | Lamport: 4
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0184s | Lamport: 4
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0074s | Lamport: 5
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0089s | Lamport: 5
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0043s | Lamport: 6
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0178s | Lamport: 6
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0031s | Lamport: 7
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0041s | Lamport: 8
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0182s | Lamport: 7
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0053s | Lamport: 8
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0033s | Lamport: 9
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 0.0110s | Lamport: 9
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4.6603s | Lamport: 10
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0099s | Lamport: 10
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0135s | Lamport: 11
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 0.0160s | Lamport: 16
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 1.3738s | Lamport: 12
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 1.3945s | Lamport: 17
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 6.4113s | Lamport: 18
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0347s | Lamport: 1
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0116s | Lamport: 13
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0089s | Lamport: 2
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0079s | Lamport: 14
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0060s | Lamport: 15
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0143s | Lamport: 3
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 6.2560s | Lamport: 4
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 9.3966s | Lamport: 5
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0228s | Lamport: 1
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0061s | Lamport: 2
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0094s | Lamport: 16
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0065s | Lamport: 3
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0073s | Lamport: 17
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 5.7143s | Lamport: 4
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 5.7321s | Lamport: 5
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4433.5133s | Lamport: 1
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4377.9030s | Lamport: 2
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 116.5718s | Lamport: 3
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 838.5020s | Lamport: 4
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4377.9418s | Lamport: 5
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 838.5073s | Lamport: 6
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4377.9772s | Lamport: 7
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 4359.6426s | Lamport: 8
[B] Received | Sender: [B] | Topic: chat | Message: Hello | Latency: 4359.6298s | Lamport: 9
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4433.6105s | Lamport: 10
[B] Received | Sender: [A] | Topic: chat | Message: Hello | Latency: 4377.9731s | Lamport: 11
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 121.6279s | Lamport: 12
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 848.5665s | Lamport: 13
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0182s | Lamport: 1
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0062s | Lamport: 2
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0054s | Lamport: 3
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0053s | Lamport: 4
[B] Received | Sender: [C] | Topic: chat | Message: Nihao | Latency: 0.0063s | Lamport: 5
