[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0055s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0098s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0099s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0149s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0158s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0213s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0069s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0163s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0168s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0261s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0260s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0310s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0055s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0134s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0134s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0195s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0194s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0205s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0049s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0129s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0129s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0201s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0290s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0334s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0060s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0165s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0164s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0205s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0241s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0302s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0076s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0154s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0197s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0205s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0208s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0219s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0051s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0084s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0085s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0124s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0127s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0222s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0020s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0054s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0085s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0098s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0121s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0123s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0056s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0141s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0203s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0211s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0208s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0366s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0036s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0098s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0111s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0127s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0153s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0158s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0053s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0112s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0108s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0159s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0165s
